Topics,Alpha,Beta,Coherence
8,0.01,0.9099999999999999,0.31485326643091016
8,0.01,symmetric,0.32100513214197823
8,0.31,0.01,0.3246001323610803
8,0.31,0.31,0.31912453146394004
8,0.31,0.61,0.3370949825890297
8,0.31,0.9099999999999999,0.31660791225702034
8,0.31,symmetric,0.33072151307137254
8,0.61,0.01,0.31279114127026575
8,0.61,0.31,0.31001482229773636
8,0.61,0.61,0.33085004783935856
8,0.61,0.9099999999999999,0.3646868132056431
8,0.61,symmetric,0.31086343207422595
8,0.9099999999999999,0.01,0.30571153498717385
8,0.9099999999999999,0.31,0.28453170722383353
8,0.9099999999999999,0.61,0.32645600596571195
8,0.9099999999999999,0.9099999999999999,0.3575536764154196
8,0.9099999999999999,symmetric,0.28329901604469576
8,symmetric,0.01,0.33667440318353437
8,symmetric,0.31,0.3233485739124533
8,symmetric,0.61,0.32065989618169377
8,symmetric,0.9099999999999999,0.2986093507430205
8,symmetric,symmetric,0.33540697015609366
8,asymmetric,0.01,0.2897589002114809
8,asymmetric,0.31,0.30644382349061744
8,asymmetric,0.61,0.3091132953690656
8,asymmetric,0.9099999999999999,0.3496039279472903
8,asymmetric,symmetric,0.27913328821559763
